fabric_type,care_label,water_temperature,dehydration_type,r,g,b,h,s,v
Wool,Hand wash only,X,X,225,226,231,230.00000000000003,2.5974025974026005,90.58823529411765
Polyester,Normal,30,X,225,226,231,230.00000000000003,2.5974025974026005,90.58823529411765
