fabric_type,care_label,water_temperature,dehydration_type,r,g,b,h,s,v,cluster
Cotton,Normal,30,Light,2,1,9,247.5,88.88888888888889,3.5294117647058822,1
Cotton,Normal,30,Light,249,248,254,249.99999999999997,2.362204724409452,99.6078431372549,1
